name	smiles	source
Cefmenoxime	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1	HIPS/molecule-autoencoder all_drugs.smi
Cefmetazole	CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21	HIPS/molecule-autoencoder all_drugs.smi
Ceforanide	NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12	HIPS/molecule-autoencoder all_drugs.smi
Cefotaxime	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1	HIPS/molecule-autoencoder all_drugs.smi
Cefotiam	CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cefoxitin	CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21	HIPS/molecule-autoencoder all_drugs.smi
Cefpodoxime	COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cefprozil	CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cefradine	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Ceftibuten	Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1	HIPS/molecule-autoencoder all_drugs.smi
Ceftizoxime	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1	HIPS/molecule-autoencoder all_drugs.smi
Cefuroxime	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1	HIPS/molecule-autoencoder all_drugs.smi
Celecoxib	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	HIPS/molecule-autoencoder all_drugs.smi
Cephalexin	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
Cephaloglycin	CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1	HIPS/molecule-autoencoder all_drugs.smi
